iter	Logloss
0	0.6760439808
1	0.6581767433
2	0.6455571702
3	0.6303834367
4	0.6197043346
5	0.6121653734
6	0.6063623343
7	0.6001108326
8	0.589620171
9	0.5838393941
10	0.5804308481
11	0.5749572876
12	0.5685671935
13	0.5643390217
14	0.5565674659
15	0.5520278404
16	0.5470146417
17	0.5447816527
18	0.5393778338
19	0.5366504048
20	0.5335794512
21	0.5299444453
22	0.5259549467
23	0.5222795452
24	0.5189367496
25	0.5139281856
26	0.5121775089
27	0.5070222297
28	0.5045942506
29	0.5007097838
30	0.4968503061
31	0.4948485336
32	0.4924776024
33	0.4891720825
34	0.4861150618
35	0.4828043075
36	0.4809686812
37	0.4793886502
38	0.4770207125
39	0.4746132176
40	0.4709329658
41	0.4678015858
42	0.4657970383
43	0.4624881224
44	0.460193935
45	0.4574971761
46	0.4574778288
47	0.4541018404
48	0.4521626493
49	0.4500804339
50	0.4480505762
51	0.4466011106
52	0.4450965951
53	0.4425429908
54	0.4413446169
55	0.4389121079
56	0.4373483954
57	0.4336116975
58	0.433246538
59	0.4325780987
60	0.4323720466
61	0.4303278373
62	0.428519787
63	0.4259975858
64	0.4259972367
65	0.4248077222
66	0.4233913955
67	0.4219814571
68	0.4201792418
69	0.4195520285
70	0.419517047
71	0.4166686179
72	0.4162386293
73	0.4140685557
74	0.4128992261
75	0.41113525
76	0.4093372921
77	0.4087765763
78	0.4076925691
79	0.4056612773
80	0.4049324592
81	0.4022593627
82	0.4003702998
83	0.4002980949
84	0.3999125871
85	0.3978793979
86	0.3962703593
87	0.3949375449
88	0.3937798985
89	0.3921164825
90	0.3907706514
91	0.3889688817
92	0.3878490202
93	0.3859042829
94	0.3843615066
95	0.3822041954
96	0.3802980521
97	0.3798095308
98	0.3787863652
99	0.3778498751
100	0.3770674409
101	0.3762769024
102	0.3748151424
103	0.3731113312
104	0.3728711174
105	0.3725348413
106	0.3713961236
107	0.3713316162
108	0.369945567
109	0.3679454669
110	0.3668021686
111	0.3660360463
112	0.3645285069
113	0.3622928005
114	0.3607094287
115	0.3604731285
116	0.3598709489
117	0.3585311372
118	0.3570877189
119	0.3560137214
120	0.3547882728
121	0.3523729549
122	0.3523296962
123	0.351850141
124	0.3510995785
125	0.3497102948
126	0.3493190065
127	0.3480354639
128	0.3475077156
129	0.3453641452
130	0.3453590545
131	0.3437845253
132	0.3420949236
133	0.3407854497
134	0.3387299878
135	0.3381991842
136	0.3377508642
137	0.3370509797
138	0.3359157327
139	0.3352428818
140	0.3339974248
141	0.3332605338
142	0.331479299
143	0.3310276663
144	0.3300870835
145	0.3278850152
146	0.3266701712
147	0.3259864647
148	0.3254463588
149	0.3239829884
150	0.3233108344
151	0.3221689377
152	0.3214805971
153	0.320283981
154	0.3197350746
155	0.3178297922
156	0.3169409377
157	0.3154846301
158	0.3134239078
159	0.3127814692
160	0.3112056532
161	0.3100507867
162	0.3087398721
163	0.3071759605
164	0.3063980494
165	0.3054716626
166	0.3044516317
167	0.3029553078
168	0.3010144602
169	0.2996781245
170	0.2977433754
171	0.2963823098
172	0.2951830955
173	0.2943152596
174	0.293455245
175	0.2920254257
176	0.2917428945
177	0.2904175441
178	0.2899985713
179	0.2891420042
180	0.2883114543
181	0.2876631207
182	0.2872685288
183	0.2856380927
184	0.2847624883
185	0.2837836045
186	0.2829993501
187	0.2821737892
188	0.280765833
189	0.2795456461
190	0.2783974523
191	0.2772395785
192	0.2758222103
193	0.2757235601
194	0.27498992
195	0.2741736288
196	0.2735811831
197	0.2716660952
198	0.2711604537
199	0.270062541
200	0.269794713
201	0.2696396314
202	0.2688700866
203	0.2676628284
204	0.2669924355
205	0.2659589275
206	0.2652661976
207	0.26425638
208	0.2636125312
209	0.2629818106
210	0.2628029099
211	0.262168087
212	0.2621105225
213	0.2608607157
214	0.2606783806
215	0.260005324
216	0.2592759588
217	0.258595295
218	0.2574828638
219	0.2552642548
220	0.2547357174
221	0.2544925966
222	0.2532134121
223	0.2526026803
224	0.2519999534
225	0.2510943322
226	0.2497293488
227	0.2491411911
228	0.2486190409
229	0.2481904683
230	0.247515259
231	0.2473694566
232	0.2467794024
233	0.2462822731
234	0.2446946603
235	0.2443871304
236	0.243919192
237	0.2430796093
238	0.2422550866
239	0.2413831402
240	0.240777537
241	0.2402689378
242	0.2396227609
243	0.2391700234
244	0.2381418624
245	0.2379728159
246	0.2369343082
247	0.2366402798
248	0.235612211
249	0.235119948
250	0.2347025411
251	0.2339170039
252	0.2334123279
253	0.2326871649
254	0.2318321028
255	0.2313841434
256	0.2307519304
257	0.2304209161
258	0.2299437578
259	0.2293628919
260	0.2288087969
261	0.2285644016
262	0.2278899072
263	0.2262140514
264	0.2251388134
265	0.2248127996
266	0.2244509948
267	0.2237812511
268	0.2232000995
269	0.2224666003
270	0.221843892
271	0.2212894412
272	0.2203420346
273	0.2196250958
274	0.2188934178
275	0.218778237
276	0.2180850183
277	0.2177006964
278	0.2173852948
279	0.2169979228
280	0.2163427213
281	0.2155271967
282	0.2151951774
283	0.2148309288
284	0.2145226211
285	0.2137829999
286	0.2137119392
287	0.2131092469
288	0.2129371806
289	0.2121987656
290	0.2115635825
291	0.2112232885
292	0.2107105379
293	0.210461983
294	0.2099598163
295	0.2098272365
296	0.209296752
297	0.2084982843
298	0.2080174774
299	0.2074962317
300	0.2069725342
301	0.2060205267
302	0.205426004
303	0.2047684673
304	0.2046676355
305	0.2040037024
306	0.2030408966
307	0.2023684205
308	0.2015421716
309	0.201217752
310	0.2008451423
311	0.2004328654
312	0.2001231652
313	0.1998798064
314	0.1994554153
315	0.1988200828
316	0.1981712465
317	0.1976384266
318	0.1969250833
319	0.1964930505
320	0.1959822156
321	0.19560112
322	0.194790057
323	0.194271468
324	0.1936766845
325	0.1932343934
326	0.1926477502
327	0.1920572205
328	0.1907124216
329	0.1901223615
330	0.1898309929
331	0.1893283324
332	0.1887838245
333	0.1884157247
334	0.1879382489
335	0.1874517469
336	0.1870349055
337	0.1863660727
338	0.1858118605
339	0.1853891153
340	0.1847790458
341	0.1843997731
342	0.1841518933
343	0.1832531936
344	0.1831817075
345	0.182233089
346	0.1819515257
347	0.1813133044
348	0.1806519793
349	0.1802807789
350	0.1796379175
351	0.1786962398
352	0.1781415137
353	0.1777008196
354	0.177321019
355	0.176866124
356	0.1767438621
357	0.1761308101
358	0.1756390489
359	0.1746930526
360	0.1743328209
361	0.1741664961
362	0.1731843361
363	0.1727798763
364	0.1722862056
365	0.1721113442
366	0.1718077027
367	0.1716222987
368	0.1708222802
369	0.1699590221
370	0.1689318591
371	0.1687140044
372	0.168383312
373	0.1677748568
374	0.1673967712
375	0.1668859181
376	0.1664031578
377	0.1659979206
378	0.1659601855
379	0.1655628093
380	0.165506591
381	0.1650014096
382	0.1644299741
383	0.1638792837
384	0.1632480681
385	0.1625421009
386	0.1619531913
387	0.1614155827
388	0.1609690186
389	0.1608721823
390	0.1607873036
391	0.1602822706
392	0.1600383252
393	0.1595744051
394	0.1585491121
395	0.1577586275
396	0.1575214415
397	0.1571504381
398	0.1562971307
399	0.1561466746
400	0.1556682177
401	0.1554029801
402	0.1550509244
403	0.1542722961
404	0.1541787128
405	0.1538269214
406	0.1532389102
407	0.152614053
408	0.1523507738
409	0.1518562936
410	0.1512449814
411	0.1509477474
412	0.1505916414
413	0.1501709216
414	0.1497257262
415	0.1494863231
416	0.1493419207
417	0.1492625641
418	0.1488573103
419	0.1487263652
420	0.1485246756
421	0.1480520305
422	0.1479277144
423	0.147525366
424	0.1474622764
425	0.1469122367
426	0.1465517213
427	0.1461723864
428	0.1457723513
429	0.1454632492
430	0.1452568429
431	0.144705285
432	0.1442748711
433	0.1439506079
434	0.1433566831
435	0.1430985477
436	0.1425824242
437	0.1417748793
438	0.141065917
439	0.140819829
440	0.1403991287
441	0.1400548525
442	0.1398144556
443	0.1395424546
444	0.1393083341
445	0.1390569913
446	0.1388731092
447	0.1387075535
448	0.1382737371
449	0.1381008539
450	0.1379599418
451	0.1377754345
452	0.1374752105
453	0.1368732914
454	0.1366965974
455	0.1365158052
456	0.136230368
457	0.1359924376
458	0.1359739537
459	0.1357768399
460	0.1355554533
461	0.1353741166
462	0.135159105
463	0.1349709492
464	0.1343796277
465	0.134100923
466	0.1339648546
467	0.1336286379
468	0.1335264604
469	0.1334259063
470	0.133052398
471	0.1325393529
472	0.1324753405
473	0.1320737483
474	0.131324775
475	0.1310489894
476	0.1306574837
477	0.1303218319
478	0.1300502162
479	0.1300323637
480	0.1297028185
481	0.1293490486
482	0.1290449001
483	0.1288728643
484	0.1286448534
485	0.1284055034
486	0.1281025912
487	0.1279448133
488	0.1276060625
489	0.1272666743
490	0.1270694724
491	0.1269924816
492	0.1266182033
493	0.126376508
494	0.1263545423
495	0.1262506567
496	0.1260179818
497	0.1258180349
498	0.1258004995
499	0.1255378036
